first_name,last_name,picture,gender,active,microJurisId,2024_municipality,2024_senate_district,2024_representative_district,2024_politician_type,2024_party,2024_ballot,2024_commisions,2024_primary,2024_general,2024_display_name
Antonio,Medina Matías,/static/images/profile_images/Antonio_Medina_Matias_8926.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Quilichini Teissonniere,/static/images/profile_images/Antonio_Quilichini_Teissonniere_8414.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio,Santos,/static/images/profile_images/Antonio_Santos_5243.jpg,M,TRUE,,,,1,representante,PD,,,FALSE,TRUE,
Antonio,Vega Velázquez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio G.,Meléndez Vargas,/static/images/profile_images/Antonio_G_Melendez_Vargas_8755.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio Miguel,Prieto Colón,/static/images/profile_images/Antonio_Miguel_Prieto_Colon_9853.jpg,M,TRUE,,Fajardo,,,alcalde,PIP,,,FALSE,TRUE,Antonio Prieto Colón
Antonio (Toñín),Rodríguez Suárez,,M,FALSE,,,,21,representante,PPD,,,FALSE,FALSE,
Antonio (Tony),Reyes Montañez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Antonio (Tony),Román,,M,TRUE,,,,,,,,,FALSE,FALSE,
Aquila,Lebrón Ríos,/static/images/profile_images/Aquila_Lebron_Rios_9105.jpg,M,TRUE,,Loíza,,,alcalde,PIP,,,FALSE,TRUE,
Aramis,Fernández Andujar,,M,TRUE,,,,,,,,,FALSE,FALSE,
Ariel Andres,Rolon López,/static/images/profile_images/Ariel_Andres_Rolon_Lopez_2844.jpg,M,TRUE,,Naranjito,,,alcalde,PIP,,,FALSE,TRUE,Ariel A. Rolón
Ariel José,Vargas Pérez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Armando,González Ortíz,static/images/profile_images/armando-gonzalez-ortiz.jpeg,M,TRUE,,Cataño,,,alcalde,MVC,,,FALSE,TRUE,
Armando,Méndez Jiménez,/static/images/profile_images/Armando_Mendez_Jimenez_4676.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Arnaldo,Toussett Barbot,/static/images/profile_images/Arnaldo_Toussett_Barbot_4327.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Arnaldo Iván,Jiménez,,M,FALSE,,,3,,senador,PNP,,,FALSE,FALSE,
Arnaldo José,Centeno Vázquez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Artemio,Almeda Cruz,,M,TRUE,,,,,,,,,FALSE,FALSE,
Aryam Limarys,Lourido Vidal,,F,TRUE,,,,,,,,,FALSE,FALSE,
Asela,Ferrer Lugo,/static/images/profile_images/Asela_Ferrer_Lugo_8924.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Aslin Zamaris,Barreto Usino,,F,TRUE,,,,,,,,,FALSE,FALSE,
Astrid,Piñeiro Vázquez,/static/images/profile_images/Astrid_Piñeiro_Vazquez_1473.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Astrid Raquel,Cruz Negrón,/static/images/profile_images/Astrid_Raquel_Cruz_Negron_8614.jpg,F,TRUE,,,,22,representante,PIP,,,FALSE,TRUE,
Augusto,López Serrano,/static/images/profile_images/Augusto_Lopez_Serrano_2561.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Aurea,Meaux Rivera,,F,TRUE,,,,,,,,,FALSE,FALSE,
Aurea E. (Aurita),Rivera Colón,/static/images/profile_images/Aurea_E_Rivera_Colon_5749.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Aurea M.,Rodríguez Román,,F,TRUE,,,,,,,,,FALSE,FALSE,
Awilda,Rivera Nater,,F,TRUE,,,,,,,,,FALSE,FALSE,
Awilda,Rodríguez Sánchez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Axel,Medina Caraballo,,M,TRUE,,,,,,,,,FALSE,FALSE,
Axel Francisco,Roque Gracia,/static/images/profile_images/Axel_Francisco_Roque_Gracia_1870.jpg,M,TRUE,,,,28,representante,PNP,,,FALSE,TRUE,Axel (Chino) Roque
Aydin Denise,Alers Talavera,,F,TRUE,,,,,,,,,FALSE,FALSE,
Baltazar,Sánchez Serrano,/static/images/profile_images/Baltazar_Sanchez_Serrano_4516.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Barbara Judith,Carmona Rivera,,F,TRUE,,,,,,,,,FALSE,FALSE,
Beatrice Elines,Carrero Guerra,/static/images/profile_images/Beatrice_Elines_Carrero_Guerra_8002.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Benito,Matos Morillo,/static/images/profile_images/Benito_Matos_1658.jpg,M,TRUE,,Aguadilla,,,alcalde,PD,,,FALSE,FALSE,
Benjamin,Cardona Rosario,/static/images/profile_images/Benjamin_Cardona_Rosario_4179.jpg,M,TRUE,,,,12,representante,PD,,,FALSE,TRUE,
Benjamin,Ramos Román,/static/images/profile_images/Benjamin_Ramos_Roman_2329.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Benjamín,González Báez,,M,TRUE,,,,,,,,,FALSE,FALSE,
Benny,González Fernández,/static/images/profile_images/Benny_Gonzalez_Fernandez_4935.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Berenith,Román,,F,FALSE,,,,18,representante,PNP,,,FALSE,FALSE,
Bernabé,González Arce,/static/images/profile_images/Bernabe_Gonzalez_Arce_9651.jpg,M,TRUE,,Camuy,,,alcalde,PD,,,FALSE,TRUE,
Bernardo (Betito),Márquez García,/static/images/profile_images/Bernardo_Marquez_Garcia_8954.jpg,M,TRUE,,Toa Baja,,,alcalde,PNP,,,FALSE,TRUE,
Betsy Janet,Martínez Cruz,/static/images/profile_images/Betzy_Janet_Martinez_Cruz_2567.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Betzaida,Bauza Marrero,/static/images/profile_images/Betzaida_Bauza_Marrero_3326.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Betzaida,Mackenzie Marín,/static/images/profile_images/Betzaida_Mackenzie_Marin_1965.jpg,F,TRUE,,,,,,,,,FALSE,FALSE,
Betzaida,Pérez Pérez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Betzaida,Quintana López,,F,TRUE,,,,,,,,,FALSE,FALSE,
Bienvenido,Ramos Ramos,,M,TRUE,,,,,,,,,FALSE,FALSE,
Billy Boy,Flores Piña,/static/images/profile_images/Billy_Boy_Flores_Piña_3446.jpg,M,TRUE,,,,,,,,,FALSE,FALSE,
Bitita,Plumey Banuchi,/static/images/profile_images/Bitita_Plumey_Banuchi_3806.jpg,F,TRUE,,Isabela,,,alcalde,PIP,,,FALSE,TRUE,
Blanca,García Sostre,,F,FALSE,,,,12,representante,PNP,,,FALSE,FALSE,
Brenda,Pérez Soto,/static/images/profile_images/Brenda_Perez_Soto_1062.jpg,F,TRUE,,,3,,senador,PNP,,,FALSE,TRUE,
Brenda Lee,Torres Acevedo,,F,TRUE,,,,,,,,,FALSE,FALSE,
Brenda Liz,Benítez Montañez,,F,TRUE,,,,,,,,,FALSE,FALSE,
Brenda Luz,Rubio Mena,/static/images/profile_images/Brenda_Luz_Rubio_Mena_7077.jpg,F,TRUE,,Vega Alta,,,alcalde,PPD,,,FALSE,TRUE,
Brunilda,Guzmán Parrilla,,F,TRUE,,,,,,,,,FALSE,FALSE,
Brunilda (Bruny),Soto López,/static/images/profile_images/Brunilda_Soto_Lopez_9055.jpg,F,FALSE,,Hatillo,,,alcalde,PPD,,,FALSE,FALSE,
Bryant Omar,Martínez Colón,/static/images/profile_images/Bryant_Omar_Martinez_Colon_4489.jpg,M,TRUE,,Bayamón,,,alcalde,MVC,,,FALSE,TRUE,Bryant Omar Martínez
Bryan Yadiel,Saavedra Santana,/static/images/profile_images/Bryan_Yadiel_Saavedra_Santana_4747.jpg,M,TRUE,,,,2,representante,PPD,,,FALSE,TRUE,Bryan Saavedra 
Camille Andrea,García Villafañe,,F,TRUE,,,,,,,,,FALSE,FALSE,
