Full Name,Precinct,Order
Neal (Nil) Matías,044,1
Neal (Nil) Matías,045,1
Neal (Nil) Matías,046,1
Denis Márquez Lebrón,033,1
Gabriel López Arrieta,033,1
Jeison Rosa,033,1
José (Pichy) Torres Zamora,033,1
José A. Bonilla Morales,033,1
Julia Rita Rodríguez Sánchez,033,1
Luis Javier (Javy) Hernández,033,1
Migdalia González,033,1
Roxanna I. Soto Aguilú (Abogada Motorizada),033,1
Joanne Marie Rodríguez Veve,033,1
José Antonio Vargas Vidot,033,1
Lisie Janet Burgos Muñíz,033,1
Luis Raúl Torres Cruz,033,1
María de Lourdes Santiago Negrón,033,1
Denis Márquez Lebrón,034,1
Ada Álvarez Conde,034,1
Francisco Javier Rodríguez NapoLeóni,034,1
Héctor Ferrer,034,1
Jacqueline (Jackie) Rodríguez,034,1
Justiniano Díaz Maldonado,034,1
Keren Riquelme Cabrera,034,1
Marially González Huertas,034,1
Ramón Rodríguez Ramos,034,1
Tatiana Pérez Ramírez,034,1
Joanne Marie Rodríguez Veve,034,1
José Antonio Vargas Vidot,034,1
Lisie Janet Burgos Muñíz,034,1
Luis Raúl Torres Cruz,034,1
María de Lourdes Santiago Negrón,034,1
Denis Márquez Lebrón,035,1
Ángel Toledo López,035,1
Gabriel F. Rodríguez Aguiló,035,1
Jeison Rosa,035,1
José A. (Josian) Santiago,035,1
José A. Bonilla Morales,035,1
Julia Rita Rodríguez Sánchez,035,1
Migdalia González,035,1
Swanny Enit Vargas Laureano,035,1
Joanne Marie Rodríguez Veve,035,1
José Antonio Vargas Vidot,035,1
Lisie Janet Burgos Muñíz,035,1
Luis Raúl Torres Cruz,035,1
María de Lourdes Santiago Negrón,035,1
Denis Márquez Lebrón,036,1
Ángel Toledo López,036,1
Gabriel F. Rodríguez Aguiló,036,1
José A. (Josian) Santiago,036,1
José A. Bonilla Morales,036,1
Julia Rita Rodríguez Sánchez,036,1
Karen Michelle Román Rodríguez,036,1
Migdalia González,036,1
Swanny Enit Vargas Laureano,036,1
Joanne Marie Rodríguez Veve,036,1
José Antonio Vargas Vidot,036,1
Lisie Janet Burgos Muñíz,036,1
Luis Raúl Torres Cruz,036,1
María de Lourdes Santiago Negrón,036,1
Denis Márquez Lebrón,037,1
Ángel Toledo López,037,1
Gabriel F. Rodríguez Aguiló,037,1
Jeison Rosa,037,1
José A. (Josian) Santiago,037,1
José A. Bonilla Morales,037,1
Julia Rita Rodríguez Sánchez,037,1
Migdalia González,037,1
Swanny Enit Vargas Laureano,037,1
Joanne Marie Rodríguez Veve,037,1
José Antonio Vargas Vidot,037,1
Lisie Janet Burgos Muñíz,037,1
Luis Raúl Torres Cruz,037,1
María de Lourdes Santiago Negrón,037,1
Denis Márquez Lebrón,038,1
Gregorio Matías Rosario,038,1
José (Che) Pérez,038,1
José A. (Josian) Santiago,038,1
José A. Bonilla Morales,038,1
Julia Rita Rodríguez Sánchez,038,1
Karen Michelle Román Rodríguez,038,1
Migdalia González,038,1
Swanny Enit Vargas Laureano,038,1
Joanne Marie Rodríguez Veve,038,1
José Antonio Vargas Vidot,038,1
Lisie Janet Burgos Muñíz,038,1
Luis Raúl Torres Cruz,038,1
María de Lourdes Santiago Negrón,038,1
Denis Márquez Lebrón,039,1
Gabriel López Arrieta,039,1
José A. Bonilla Morales,039,1
Julia Rita Rodríguez Sánchez,039,1
Karen Michelle Román Rodríguez,039,1
Keren Riquelme Cabrera,039,1
Luis Javier (Javy) Hernández,039,1
Migdalia González,039,1
Tatiana Pérez Ramírez,039,1
Joanne Marie Rodríguez Veve,039,1
José Antonio Vargas Vidot,039,1
Lisie Janet Burgos Muñíz,039,1
Luis Raúl Torres Cruz,039,1
María de Lourdes Santiago Negrón,039,1
Denis Márquez Lebrón,040,1
Ada Álvarez Conde,040,1
Gregorio Matías Rosario,040,1
Héctor Ferrer,040,1
Jeison Rosa,040,1
José (Che) Pérez,040,1
José A. Bonilla Morales,040,1
Julia Rita Rodríguez Sánchez,040,1
Luis Javier (Javy) Hernández,040,2
Migdalia González,040,1
Joanne Marie Rodríguez Veve,040,1
José Antonio Vargas Vidot,040,1
Lisie Janet Burgos Muñíz,040,1
Luis Raúl Torres Cruz,040,1
María de Lourdes Santiago Negrón,040,1
Denis Márquez Lebrón,041,1
César Augusto Vázquez Muñíz,041,1
José Aponte Hernández,041,1
José Bernardo Márquez Reyes,041,1
José Luis Dalmau Santiago,041,1
Leyda Cruz,041,1
Migdalia Padilla Alvelo,041,1
Noel Berríos Díaz,041,1
Ramón Torres,041,1
Raquel Rodríguez Gauthier,041,1
Joanne Marie Rodríguez Veve,041,1
José Antonio Vargas Vidot,041,1
Lisie Janet Burgos Muñíz,041,1
Luis Raúl Torres Cruz,041,1
María de Lourdes Santiago Negrón,041,1
Denis Márquez Lebrón,042,1
Joanne Marie Rodríguez Veve,042,1
José A. Bonilla Morales,042,1
José Luis Dalmau Santiago,042,1
Julia Rita Rodríguez Sánchez,042,1
Karen Michelle Román Rodríguez,042,1
Keren Riquelme Cabrera,042,1
Migdalia González,042,1
Ramón Torres,042,1
Tatiana Pérez Ramírez,042,1
José Antonio Vargas Vidot,042,1
Lisie Janet Burgos Muñíz,042,1
Luis Raúl Torres Cruz,042,1
María de Lourdes Santiago Negrón,042,1
Denis Márquez Lebrón,043,1
Joanne Marie Rodríguez Veve,043,1
Ángel Toledo López,043,1
Gabriel F. Rodríguez Aguiló,043,1
Jeison Rosa,043,1
José A. Bonilla Morales,043,1
José Luis Dalmau Santiago,043,1
Julia Rita Rodríguez Sánchez,043,1
Migdalia González,043,1
Ramón Torres,043,1
José Antonio Vargas Vidot,043,1
Lisie Janet Burgos Muñíz,043,1
Luis Raúl Torres Cruz,043,1
María de Lourdes Santiago Negrón,043,1
Denis Márquez Lebrón,044,1
Joanne Marie Rodríguez Veve,044,1
Ángel Toledo López,044,1
Gabriel F. Rodríguez Aguiló,044,1
José A. Bonilla Morales,044,1
José Luis Dalmau Santiago,044,1
Julia Rita Rodríguez Sánchez,044,1
Karen Michelle Román Rodríguez,044,1
Migdalia González,044,1
Ramón Torres,044,1
José Antonio Vargas Vidot,044,1
Lisie Janet Burgos Muñíz,044,1
Luis Raúl Torres Cruz,044,1
María de Lourdes Santiago Negrón,044,1
Denis Márquez Lebrón,045,1
Joanne Marie Rodríguez Veve,045,1
Ada Álvarez Conde,045,1
Héctor Ferrer,045,1
Jeison Rosa,045,1
José (Pichy) Torres Zamora,045,1
José A. Bonilla Morales,045,1
Julia Rita Rodríguez Sánchez,045,1
Migdalia González,045,1
Roxanna I. Soto Aguilú (Abogada Motorizada),045,1
José Antonio Vargas Vidot,045,1
Lisie Janet Burgos Muñíz,045,1
Luis Raúl Torres Cruz,045,1
María de Lourdes Santiago Negrón,045,1
Denis Márquez Lebrón,046,1
Joanne Marie Rodríguez Veve,046,1
Gabriel López Arrieta,046,1
José (Pichy) Torres Zamora,046,1
José A. Bonilla Morales,046,1
Julia Rita Rodríguez Sánchez,046,1
Karen Michelle Román Rodríguez,046,1
Luis Javier (Javy) Hernández,046,1
Migdalia González,046,1
Roxanna I. Soto Aguilú (Abogada Motorizada),046,1
José Antonio Vargas Vidot,046,1
Lisie Janet Burgos Muñíz,046,1
Luis Raúl Torres Cruz,046,1
María de Lourdes Santiago Negrón,046,1
Denis Márquez Lebrón,047,1
Joanne Marie Rodríguez Veve,047,1
Francisco Javier Rodríguez NapoLeóni,047,1
Jacqueline (Jackie) Rodríguez,047,1
José A. (Josian) Santiago,047,1
Justiniano Díaz Maldonado,047,1
Keren Riquelme Cabrera,047,1
Marially González Huertas,047,1
Ramón Rodríguez Ramos,047,1
Swanny Enit Vargas Laureano,047,1
Tatiana Pérez Ramírez,047,1
José Antonio Vargas Vidot,047,1
Lisie Janet Burgos Muñíz,047,1
Luis Raúl Torres Cruz,047,1
María de Lourdes Santiago Negrón,047,1
Denis Márquez Lebrón,048,1
Joanne Marie Rodríguez Veve,048,1
Francisco Javier Rodríguez NapoLeóni,048,1
Gregorio Matías Rosario,048,1
Jamie Barlucea,048,1
José (Che) Pérez,048,1
José Luis Dalmau Santiago,048,1
Justiniano Díaz Maldonado,048,1
Marially González Huertas,048,1
Ramón Rodríguez Ramos,048,1
Ramón Torres,048,1
José Antonio Vargas Vidot,048,1
Lisie Janet Burgos Muñíz,048,1
Luis Raúl Torres Cruz,048,1
María de Lourdes Santiago Negrón,048,1
Denis Márquez Lebrón,049,1
Joanne Marie Rodríguez Veve,049,1
Francisco Javier Rodríguez NapoLeóni,049,1
Gabriel López Arrieta,049,1
Gregorio Matías Rosario,049,1
Jacqueline (Jackie) Rodríguez,049,1
José (Che) Pérez,049,1
Justiniano Díaz Maldonado,049,1
Luis Javier (Javy) Hernández,049,1
Marially González Huertas,049,1
Ramón Rodríguez Ramos,049,1
José Antonio Vargas Vidot,049,1
Lisie Janet Burgos Muñíz,049,1
Luis Raúl Torres Cruz,049,1
María de Lourdes Santiago Negrón,049,1
Denis Márquez Lebrón,050,1
Joanne Marie Rodríguez Veve,050,1
Ada Álvarez Conde,050,1
Francisco Javier Rodríguez NapoLeóni,050,1
Gregorio Matías Rosario,050,1
Héctor Ferrer,050,1
Jacqueline (Jackie) Rodríguez,050,1
José (Che) Pérez,050,1
Justiniano Díaz Maldonado,050,1
Marially González Huertas,050,1
Ramón Rodríguez Ramos,050,1
José Antonio Vargas Vidot,050,1
Lisie Janet Burgos Muñíz,050,1
Luis Raúl Torres Cruz,050,1
María de Lourdes Santiago Negrón,050,1
Denis Márquez Lebrón,051,1
Joanne Marie Rodríguez Veve,051,1
Francisco Javier Rodríguez NapoLeóni,051,1
Jacqueline (Jackie) Rodríguez,051,1
José Luis Dalmau Santiago,051,1
Justiniano Díaz Maldonado,051,1
Lourdes Ramos,051,1
Marially González Huertas,051,1
Ramón Rodríguez Ramos,051,1
Ramón Torres,051,1
Thomas Rivera Schatz,051,1
José Antonio Vargas Vidot,051,1
Lisie Janet Burgos Muñíz,051,1
Luis Raúl Torres Cruz,051,1
María de Lourdes Santiago Negrón,051,1
Denis Márquez Lebrón,052,1
Joanne Marie Rodríguez Veve,052,1
Francisco Javier Rodríguez NapoLeóni,052,1
Jamie Barlucea,052,1
José Luis Dalmau Santiago,052,1
Justiniano Díaz Maldonado,052,1
Lourdes Ramos,052,1
Marially González Huertas,052,1
